# probes/c3/matrix.tsv — the P-C3 hostile matrix SPEC (SL-241 PHASE-05, EX-1).
#
# AUTHORED INPUT, committed. Not a results file. The harness writes
# `$SPIKE_CAPSULE_ROOT/probes/c3/results.tsv` (runtime tier) with the same
# columns and `planted`/`outcome`/`altitude` filled; that generated file is the
# only thing the driving session reads (R5, EX-14).
#
# SOURCE OF TRUTH for `expected-stage`/`expected-token` is design.md § 5.6 —
# the re-derivation against the four-stage model. It is NOT probe-specs.md's
# inherited expected-kill column, which was authored against a pipeline tail
# this design removes; five rows there name machinery the design deletes or
# never specifies (S5).
#
# ── columns (design § 5.4) ──────────────────────────────────────────────────
#
#   row             H1..H16, the § 5.6 rows. Sixteen, and only sixteen.
#   fixture         light (F1) | heavy (F4)
#   mechanism       fetch (M-A) | bundle (M-B) — the pipeline's own literal, so
#                   the harness passes it through with no translation table
#   harness         pipeline | conflict | both (§ 5.1). `both` means the row
#                   ALSO carries a conflict sub-probe leg: run once per row
#                   against F3, scored as a separate entry, and counting toward
#                   nothing — it is an incumbent-layer regression check, not
#                   capsule-model evidence (F-9, EX-6).
#   vector-class    CPT-001's classes: 1 explicit execution · 2 build-system
#                   evaluation · 3 toolchain auto-load · 3g git-level auto-load
#                   · 4 path-shaped data · 5 resource shape. `-` means this
#                   row's vector is not an interpretation-surface trigger at
#                   all (ancestry, staleness, crash) — NOT "unclassified".
#                   ASM-007 (exhaustiveness) is invalidated; the taxonomy is
#                   not. Do not add a sixth class here.
#   instantiation   what this cell plants, in this fixture. For a cell that is
#                   `n/a` up front, this carries the REASON, and the reason
#                   names a STRUCTURAL absence — never "not attempted" (R-C).
#   expected-stage  harvest | conform | verify | advance | dissolution.
#                   `dissolution` is first-class and distinct from empty (R-D):
#                   the row has no refusing stage BY CONSTRUCTION, which is the
#                   design's best result, not a gap.
#   expected-token  from the CLOSED vocabulary (§ 5.1, `token_legal` in
#                   control/pipeline.sh). Empty means no refusal is expected.
#   planted         EMPTY here. The harness fills it from `Hnn.planted?`, the
#                   per-cell positive control (F-7) — except where the cell is
#                   `n/a` up front, which is authored.
#   outcome         EMPTY here. pass | partial | fail | n/a, DERIVED by the
#                   harness from the assertions the row actually made.
#   altitude        EMPTY here, ALWAYS. model-level | client-local |
#                   unproven-beyond-rust, computed by the harness (EX-5,
#                   VA-1) — an authored value would make "generated, not
#                   hand-authored" unverifiable.
#
# `|` in an expected-* cell is an ALTERNATION, not a literal: every alternative
# must be observed by one of the row's legs, and each must itself be legal.
# It appears where § 5.6's re-derived boundary names more than one for a single
# row — H8 (two tree-mode tokens), H9 (two parts, scored as two), H13 (four
# bundle-hygiene legs).
#
# 16 rows x 2 fixtures x 2 mechanisms = 64 cells, of which 4 are `n/a` up front
# (H12 on light, H13 on fetch) => 60 live cells.
row	fixture	mechanism	harness	vector-class	instantiation	expected-stage	expected-token	planted	outcome	altitude
H1	light	fetch	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant			
H1	light	bundle	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant			
H1	heavy	fetch	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant			
H1	heavy	bundle	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant			
H2	light	fetch	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution				
H2	light	bundle	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution				
H2	heavy	fetch	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution				
H2	heavy	bundle	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution				
H3	light	fetch	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit			
H3	light	bundle	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit			
H3	heavy	fetch	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit			
H3	heavy	bundle	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit			
H4	light	fetch	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path			
H4	light	bundle	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path			
H4	heavy	fetch	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path			
H4	heavy	bundle	pipeline	-	edit a path outside the contracted slice's design-target selectors	conform	undeclared-path			
